
Big Board speller
Rank
	
Name
	
Time
	
Load
	
Check
	
Size
	
Unload
	
Memory
	
Heap
	
Stack
1	3gFE4wZ7v3XeoYJ 	4.380 s	0.464 s	3.756 s	0.000 s	0.160 s	9.9 MB	9.4 MB	531.7 kB
2	penn-guy 	5.268 s	0.185 s	5.083 s	0.000 s	0.000 s	11.8 kB	4.6 kB	7.2 kB
3	camel-cdr 	5.463 s	0.285 s	5.170 s	0.000 s	0.008 s	11.8 kB	4.6 kB	7.2 kB
4	akcube 	5.496 s	0.202 s	5.295 s	0.000 s	0.000 s	11.8 kB	4.6 kB	7.2 kB
5	Franny-Schreck 	5.620 s	0.327 s	5.293 s	0.000 s	0.000 s	11.8 kB	4.6 kB	7.2 kB
6	ScottyMacca 	5.656 s	0.273 s	5.382 s	0.000 s	0.000 s	11.8 kB	4.6 kB	7.2 kB
7	fredwong488 	5.657 s	0.256 s	5.401 s	0.000 s	0.000 s	11.8 kB	4.6 kB	7.2 kB
8	Abdelrahman-Hekal 	5.738 s	0.434 s	5.304 s	0.000 s	0.000 s	11.8 kB	4.6 kB	7.2 kB
9	mcoutada 	5.762 s	0.287 s	5.475 s	0.000 s	0.000 s	11.8 kB	4.6 kB	7.2 kB
10	ravenguild08 	5.765 s	0.315 s	5.450 s	0.000 s	0.000 s	39.8 kB	4.6 kB	35.2 kB
11	thoerup 	5.779 s	0.239 s	5.539 s	0.000 s	0.001 s	11.8 kB	4.6 kB	7.2 kB
12	SanathJ 	5.797 s	0.234 s	5.558 s	0.000 s	0.004 s	11.8 kB	4.6 kB	7.2 kB
13	magalhaesm 	5.844 s	0.499 s	5.345 s	0.000 s	0.000 s	11.8 kB	4.6 kB	7.2 kB
14	TRC0FF 	5.857 s	0.235 s	5.622 s	0.000 s	0.000 s	11.8 kB	4.6 kB	7.2 kB
15	rzufinho 	5.911 s	0.489 s	5.421 s	0.000 s	0.000 s	11.8 kB	4.6 kB	7.2 kB
16	nicopad22 	5.938 s	0.295 s	5.644 s	0.000 s	0.000 s	11.8 kB	4.6 kB	7.2 kB
17	renpoo 	5.967 s	0.467 s	5.500 s	0.000 s	0.000 s	11.8 kB	4.6 kB	7.2 kB
18	CSjianbel 	6.010 s	0.300 s	5.710 s	0.000 s	0.000 s	11.8 kB	4.6 kB	7.2 kB
19	jabetts 	6.035 s	0.385 s	5.650 s	0.000 s	0.000 s	11.8 kB	4.6 kB	7.2 kB
20	ptaeleman 	6.037 s	0.793 s	5.244 s	0.000 s	0.000 s	11.8 kB	4.6 kB	7.2 kB
21	gcaliber 	6.073 s	0.482 s	5.591 s	0.000 s	0.000 s	11.8 kB	4.6 kB	7.2 kB
22	bsinko 	6.109 s	0.482 s	5.621 s	0.000 s	0.006 s	11.8 kB	4.6 kB	7.2 kB
23	dedknd 	6.126 s	0.781 s	5.346 s	0.000 s	0.000 s	7.9 kB	4.6 kB	3.2 kB
24	bolt-blue 	6.150 s	0.362 s	5.782 s	0.000 s	0.007 s	11.8 kB	4.6 kB	7.2 kB
25	Mmackz 	6.168 s	0.422 s	5.740 s	0.000 s	0.006 s	2.3 MB	2.3 MB	1.1 kB
26	ericoramos 	6.208 s	0.914 s	5.286 s	0.000 s	0.008 s	4.6 MB	4.6 MB	2.9 kB
27	deweykai 	6.212 s	0.494 s	5.718 s	0.000 s	0.000 s	11.8 kB	4.6 kB	7.2 kB
28	gshaikov 	6.229 s	0.521 s	5.703 s	0.000 s	0.005 s	3.2 MB	3.2 MB	1.1 kB
29	AnthonyEdwards-2020 	6.231 s	0.646 s	5.585 s	0.000 s	0.000 s	7.9 kB	4.6 kB	3.2 kB
30	riverJD 	6.236 s	0.339 s	5.891 s	0.000 s	0.006 s	3.7 MB	3.7 MB	1.0 kB
31	antonin-siguier 	6.240 s	0.729 s	5.511 s	0.000 s	0.000 s	7.9 kB	4.6 kB	3.2 kB
32	Essiar 	6.288 s	0.371 s	5.916 s	0.000 s	0.000 s	11.8 kB	4.6 kB	7.2 kB
33	nicknapoli82 	6.295 s	0.272 s	6.023 s	0.000 s	0.000 s	11.8 kB	4.6 kB	7.2 kB
34	joseville1001 	6.302 s	0.361 s	5.911 s	0.000 s	0.031 s	16.0 kB	13.6 kB	2.3 kB
35	kraft87 	6.310 s	0.603 s	5.707 s	0.000 s	0.000 s	11.8 kB	4.6 kB	7.2 kB
36	JonPusey 	6.312 s	0.591 s	5.715 s	0.000 s	0.006 s	11.8 kB	4.6 kB	7.2 kB
37	Befeepilf 	6.324 s	0.724 s	5.597 s	0.000 s	0.004 s	2.4 MB	2.4 MB	1.1 kB
38	Brian Yu Staff 	6.329 s	0.547 s	5.780 s	0.000 s	0.002 s	11.8 kB	4.6 kB	7.2 kB
39	noah-clements 	6.336 s	0.400 s	5.929 s	0.000 s	0.006 s	7.2 MB	7.2 MB	1.1 kB
